,Sr No,Date,Startup Name,Industry Vertical,SubVertical,City,Investors,Investment Type,Amount in USD,Funding_Category,Amount in Rs(Cr),Funding_Round,Investor_Rank_x,Power_Score_x,Investor_Rank_y,Power_Score_y,Influence_Index,Final_Rank
4831,2518,13-08-2015,etaout,Ecommerce Marketing Software Platform,Online Lending Platform,Noida,"""  girish mathrubootham &\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\xc2\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\\xa0 group of other angel investors""",seed funding,500000,Medium,4.5485,Seed,555,0.171556301,555,0.171556301,0.003837758,699
4832,2519,13-08-2015,IFMR Holdings,Financial Inclusion platform,Online Lending Platform,Chennai,"""accion""",private equity,25000000,Very Large,227.425,Private Equity,209,0.887119307,209,0.887119307,0.010406395,428
4833,2519,13-08-2015,IFMR Holdings,Financial Inclusion platform,Online Lending Platform,Chennai,"""  leapfrog investments""",private equity,25000000,Very Large,227.425,Private Equity,209,0.887119307,209,0.887119307,0.010406395,428
4834,2519,13-08-2015,IFMR Holdings,Financial Inclusion platform,Online Lending Platform,Chennai,"""  lok capital""",private equity,25000000,Very Large,227.425,Private Equity,209,0.887119307,209,0.887119307,0.010406395,428
4835,2520,13-08-2015,Massblurb,Digital Marketing automation solution,Online Lending Platform,Mumbai,"""letsventure""",seed funding,1750000,Large,15.91975,Seed,404,0.718077675,404,0.718077675,0.034005787,140
4836,2520,13-08-2015,Massblurb,Digital Marketing automation solution,Online Lending Platform,Mumbai,"""  mumbai angels""",seed funding,1750000,Large,15.91975,Seed,262,0.850936016,262,0.850936016,0.035661871,129
4837,2521,13-08-2015,Agrostar,Mobile Commerce for Farmers,Online Lending Platform,Pune,"""idg ventures""",private equity,4000000,Large,36.388,Private Equity,63,0.978485611,63,0.978485611,0.097388544,40
4838,2522,14-08-2015,VoxWeb,Picture based Social App,Online Lending Platform,Mumbai,"""jitendra gupta & others""",seed funding,100000,Small,0.9097,Seed,659,0.015227717,659,0.015227717,0.003730514,797
4839,2523,14-08-2015,Trukky,Logistics service platform,Online Lending Platform,Ahmedabad,"""gujarat based angel investors""",seed funding,245000,Medium,2.228765,Seed,616,0.07921207,616,0.07921207,0.00376939,755
4840,2523,14-08-2015,Trukky,Logistics service platform,Online Lending Platform,Ahmedabad,"""  mmy co-founder""",seed funding,245000,Medium,2.228765,Seed,616,0.07921207,616,0.07921207,0.00376939,755
4841,2524,14-08-2015,VanityCube,On-Demand Beauty Services,Online Lending Platform,New Delhi,"""group of angel investors""",seed funding,1750000,Large,15.91975,Seed,336,0.781503213,336,0.781503213,0.071533376,55
4842,2525,17-08-2015,Edu4Share,Exam Preparation Platform,Online Lending Platform,New Delhi,"""nalin jain & other angel investors""",seed funding,220000,Medium,2.00134,Seed,623,0.07446214,623,0.07446214,0.003762687,762
4843,2526,17-08-2015,YourStory,Startup Focused Online Publisher,Online Lending Platform,Mumbai,"""ratan tata""",seed funding,1750000,Large,15.91975,Seed,149,0.928751048,149,0.928751048,0.113855706,35
4844,2526,17-08-2015,YourStory,Startup Focused Online Publisher,Online Lending Platform,Mumbai,"""  vani kola""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4845,2526,17-08-2015,YourStory,Startup Focused Online Publisher,Online Lending Platform,Mumbai,"""  t v mohandas pai""",seed funding,1750000,Large,15.91975,Seed,473,0.602682313,473,0.602682313,0.011484509,401
4846,2526,17-08-2015,YourStory,Startup Focused Online Publisher,Online Lending Platform,Mumbai,"""  karthee madasamay""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4847,2527,17-08-2015,Sampurnearth,Waste Management Solutions,Online Lending Platform,Mumbai,"""intellecap impact investment network""",seed funding,160000,Medium,1.45552,Seed,639,0.04708019,639,0.04708019,0.003746601,778
4848,2527,17-08-2015,Sampurnearth,Waste Management Solutions,Online Lending Platform,Mumbai,"""  family office fund""",seed funding,160000,Medium,1.45552,Seed,639,0.04708019,639,0.04708019,0.003746601,778
4849,2528,17-08-2015,Orobind,App based Fitness coaching,Online Lending Platform,Bangalore,"""existing & new investors""",private equity,1750000,Large,15.91975,Private Equity,495,0.431824532,495,0.431824532,0.004172892,648
4850,2529,17-08-2015,Fixy,On demand cleaning & fixing services,Online Lending Platform,Mumbai,"""venturenursery""",seed funding,1750000,Large,15.91975,Seed,434,0.675607712,434,0.675607712,0.008095784,481
4851,2530,17-08-2015,MSM Box,Beauty & Lifestyle platform,Online Lending Platform,New Delhi,"""rohit goel""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4852,2531,17-08-2015,ShadowFax,on-demand delivery service,Online Lending Platform,Gurgaon,"""kunal bahl""",seed funding,310000,Medium,2.82007,Seed,333,0.782341436,333,0.782341436,0.019899532,226
4853,2531,17-08-2015,ShadowFax,on-demand delivery service,Online Lending Platform,Gurgaon,"""  rohit bansal""",seed funding,310000,Medium,2.82007,Seed,222,0.875104778,222,0.875104778,0.047508356,87
4854,2531,17-08-2015,ShadowFax,on-demand delivery service,Online Lending Platform,Gurgaon,"""  zishaan hayath""",seed funding,310000,Medium,2.82007,Seed,363,0.761106454,363,0.761106454,0.019566046,232
4855,2531,17-08-2015,ShadowFax,on-demand delivery service,Online Lending Platform,Gurgaon,"""  prashant malik""",seed funding,310000,Medium,2.82007,Seed,595,0.114836547,595,0.114836547,0.003786817,736
4856,2532,17-08-2015,Gadgets 360,Car & Bike ecommerce platform,Online Lending Platform,New Delhi,"""one97 communications""",private equity,1750000,Large,15.91975,Private Equity,495,0.431824532,495,0.431824532,0.004172892,648
4857,2533,18-08-2015,Roposo,Fashion Discovery platform,Online Lending Platform,Gurgaon,"""tiger global""",private equity,15000000,Very Large,136.455,Private Equity,27,0.99161777,27,0.99161777,0.133123779,27
4858,2534,18-08-2015,IntelligenceNODE,Data Analytics Platform,Online Lending Platform,Mumbai,"""new enterprise associates""",private equity,4200000,Large,38.2074,Private Equity,192,0.90583962,192,0.90583962,0.016314485,272
4859,2534,18-08-2015,IntelligenceNODE,Data Analytics Platform,Online Lending Platform,Mumbai,"""  orios venture partners""",private equity,4200000,Large,38.2074,Private Equity,120,0.947471361,120,0.947471361,0.039217842,117
4860,2535,18-08-2015,HyperVerge,Deep Learning Cloud Algorithms,Online Lending Platform,Chennai,"""nea""",seed funding,1000000,Medium,9.097,Seed,448,0.634255379,448,0.634255379,0.007948275,492
4861,2535,18-08-2015,HyperVerge,Deep Learning Cloud Algorithms,Online Lending Platform,Chennai,"""  milliways ventures""",seed funding,1000000,Medium,9.097,Seed,517,0.24015088,517,0.24015088,0.003971811,664
4862,2535,18-08-2015,HyperVerge,Deep Learning Cloud Algorithms,Online Lending Platform,Chennai,"""  naya ventures""",seed funding,1000000,Medium,9.097,Seed,517,0.24015088,517,0.24015088,0.003971811,664
4863,2536,18-08-2015,Twyst,Location based engagement & rewards platform,Online Lending Platform,Gurgaon,"""rohit bhatia""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4864,2536,18-08-2015,Twyst,Location based engagement & rewards platform,Online Lending Platform,Gurgaon,"""  sunil nikhar""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4865,2536,18-08-2015,Twyst,Location based engagement & rewards platform,Online Lending Platform,Gurgaon,"""  vaibhav domkundwar""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4866,2536,18-08-2015,Twyst,Location based engagement & rewards platform,Online Lending Platform,Gurgaon,"""  siddharth nautiyal""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4867,2537,18-08-2015,IDfy,Online Identity Verification Services platform,Online Lending Platform,Mumbai,"""nea""",private equity,1750000,Large,15.91975,Private Equity,448,0.634255379,448,0.634255379,0.007948275,492
4868,2537,18-08-2015,IDfy,Online Identity Verification Services platform,Online Lending Platform,Mumbai,"""  blume ventures & others""",private equity,1750000,Large,15.91975,Private Equity,434,0.675607712,434,0.675607712,0.008095784,481
4869,2538,18-08-2015,Zoojoo.be,Corporate Wellness App,Online Lending Platform,Bangalore,"""roundglass partners""",private equity,1000000,Medium,9.097,Private Equity,265,0.849958089,265,0.849958089,0.039304501,115
4870,2539,19-08-2015,Fashionove,Fashion Search & Review Platform,Online Lending Platform,Kolkata,"""umesh yadav""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4871,2540,19-08-2015,TimeSaverz,"Hyperlocal Maintenance, Repair & Cleaning services",Online Lending Platform,Mumbai,"""unilazer ventures""",private equity,2400000,Large,21.8328,Private Equity,244,0.860016764,244,0.860016764,0.021341151,215
4872,2541,19-08-2015,Envoged,pre-owned Luxury online apparel seller,Online Lending Platform,Mumbai,"""manish dhingra""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4873,2541,19-08-2015,Envoged,pre-owned Luxury online apparel seller,Online Lending Platform,Mumbai,"""  ankush nijhawa""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4874,2541,19-08-2015,Envoged,pre-owned Luxury online apparel seller,Online Lending Platform,Mumbai,"""  gaurav bhatnagar""",seed funding,1750000,Large,15.91975,Seed,403,0.718496787,403,0.718496787,0.011940885,365
4875,2542,19-08-2015,MebelKart,Online Furniture Marketplace,Online Lending Platform,Bangalore,"""askme""",private equity,20000000,Very Large,181.94,Private Equity,231,0.867421067,231,0.867421067,0.009065857,447
4876,2543,20-08-2015,LabsAdvisor,Online Diagnostic Tests Marketplace,Online Lending Platform,New Delhi,"""group of angel investors""",seed funding,156000,Medium,1.419132,Seed,336,0.781503213,336,0.781503213,0.071533376,55
4877,2544,20-08-2015,Flatpebble,Online marketplace for Photographers,Online Lending Platform,Hyderabad,"""indian angel network""",seed funding,600000,Medium,5.4582,Seed,170,0.919251187,170,0.919251187,0.130762259,29
4878,2545,20-08-2015,Bluegape.com,Visual Blogging platform,Online Lending Platform,New Delhi,"""ah! ventures""",seed funding,600000,Medium,5.4582,Seed,304,0.813355686,304,0.813355686,0.042371943,104
4879,2545,20-08-2015,Bluegape.com,Visual Blogging platform,Online Lending Platform,New Delhi,"""  times internet""",seed funding,600000,Medium,5.4582,Seed,53,0.983514948,53,0.983514948,0.056558199,73
4880,2545,20-08-2015,Bluegape.com,Visual Blogging platform,Online Lending Platform,New Delhi,"""  rudy gopalakrishnan""",seed funding,600000,Medium,5.4582,Seed,548,0.195445655,548,0.195445655,0.003864568,692
4881,2546,21-08-2015,ePoise,Job Search Platform,Online Lending Platform,Bangalore,"""orios venture partners""",seed funding,500000,Medium,4.5485,Seed,444,0.645850796,444,0.645850796,0.01162972,390
4882,2546,21-08-2015,ePoise,Job Search Platform,Online Lending Platform,Bangalore,"""  amit ranjan & others""",seed funding,500000,Medium,4.5485,Seed,555,0.171556301,555,0.171556301,0.003837758,699
4883,2547,24-08-2015,Jolly Food Fellow,Food Customer analytics platform,Online Lending Platform,Ahmedabad,"""the 1947""",seed funding,300000,Medium,2.7291,Seed,601,0.105895502,601,0.105895502,0.003784136,742
4884,2548,24-08-2015,BookMeIn,Professional Service Appointment booking service,Online Lending Platform,Mumbai,"""ajmera group of companies""",seed funding,400000,Medium,3.6388,Seed,570,0.139843532,570,0.139843532,0.003810947,713
4885,2549,24-08-2015,iZofy,Scientific Horoscope Online Assistance platform,Online Lending Platform,Kolkata,"""prime capital markets ltd""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4886,2550,24-08-2015,rBus,Tech enabled AC bus service,Online Lending Platform,Mumbai,"""india quotient""",seed funding,1750000,Large,15.91975,Seed,252,0.856105057,252,0.856105057,0.046823128,88
4887,2550,24-08-2015,rBus,Tech enabled AC bus service,Online Lending Platform,Mumbai,"""  anupam mittal & others""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4888,2551,25-08-2015,Qyk App,On-Demand App based Professional service provider,Online Lending Platform,Bangalore,"""growx ventures""",private equity,1000000,Medium,9.097,Private Equity,325,0.785973736,325,0.785973736,0.027309683,181
4889,2551,25-08-2015,Qyk App,On-Demand App based Professional service provider,Online Lending Platform,Bangalore,"""  tracxn labs""",private equity,1000000,Medium,9.097,Private Equity,271,0.845487566,271,0.845487566,0.039248686,116
4890,2551,25-08-2015,Qyk App,On-Demand App based Professional service provider,Online Lending Platform,Bangalore,"""  powai lake ventures""",private equity,1000000,Medium,9.097,Private Equity,424,0.691394244,424,0.691394244,0.011759372,378
4891,2551,25-08-2015,Qyk App,On-Demand App based Professional service provider,Online Lending Platform,Bangalore,"""  and sahil barua""",private equity,1000000,Medium,9.097,Private Equity,517,0.24015088,517,0.24015088,0.003971811,664
4892,2552,25-08-2015,EazyDiner,Restaurant Reservation Platform,Online Lending Platform,Gurgaon,"""dsg consumer partners""",private equity,3000000,Large,27.291,Private Equity,207,0.892148645,207,0.892148645,0.040562699,111
4893,2552,25-08-2015,EazyDiner,Restaurant Reservation Platform,Online Lending Platform,Gurgaon,"""  saama capital""",private equity,3000000,Large,27.291,Private Equity,100,0.957530036,100,0.957530036,0.03604754,125
4894,2553,25-08-2015,RevX,Cross-channel CRM platform,Online Lending Platform,Mumbai,"""norwest venture partners""",private equity,4000000,Large,36.388,Private Equity,105,0.95585359,105,0.95585359,0.042265891,105
4895,2553,25-08-2015,RevX,Cross-channel CRM platform,Online Lending Platform,Mumbai,"""  nexus venture partners""",private equity,4000000,Large,36.388,Private Equity,37,0.988544286,37,0.988544286,0.093713356,43
4896,2553,25-08-2015,RevX,Cross-channel CRM platform,Online Lending Platform,Mumbai,"""  helion venture partners""",private equity,4000000,Large,36.388,Private Equity,32,0.989941324,32,0.989941324,0.096185043,41
4897,2553,25-08-2015,RevX,Cross-channel CRM platform,Online Lending Platform,Mumbai,"""  draper fisher jurvetson""",private equity,4000000,Large,36.388,Private Equity,415,0.702151439,415,0.702151439,0.004776134,616
4898,2553,25-08-2015,RevX,Cross-channel CRM platform,Online Lending Platform,Mumbai,"""  peepul capital""",private equity,4000000,Large,36.388,Private Equity,415,0.702151439,415,0.702151439,0.004776134,616
4899,2554,25-08-2015,ICustomMadeIt,Professional Custom creators Marketplace,Online Lending Platform,Pune,"""group of angel investors""",seed funding,250000,Medium,2.27425,Seed,336,0.781503213,336,0.781503213,0.071533376,55
4900,2555,26-08-2015,PickMyLaundry,on-Demand Washing & Dry-Cleaning,Online Lending Platform,New Delhi,"""ghv accelerator""",seed funding,100000,Small,0.9097,Seed,601,0.105895502,601,0.105895502,0.011162972,414
4901,2556,26-08-2015,Belita,On-Demand Beauty Service,Online Lending Platform,Mumbai,"""india quotient""",seed funding,400000,Medium,3.6388,Seed,252,0.856105057,252,0.856105057,0.046823128,88
4902,2556,26-08-2015,Belita,On-Demand Beauty Service,Online Lending Platform,Mumbai,"""  letsventure investors""",seed funding,400000,Medium,3.6388,Seed,570,0.139843532,570,0.139843532,0.003810947,713
4903,2556,26-08-2015,Belita,On-Demand Beauty Service,Online Lending Platform,Mumbai,"""  lead angels""",seed funding,400000,Medium,3.6388,Seed,474,0.601983794,474,0.601983794,0.007830267,508
4904,2557,26-08-2015,EzySolare,solar products and services marketplace,Online Lending Platform,Ahmedabad,"""infuse ventures""",seed funding,1750000,Large,15.91975,Seed,310,0.809304275,310,0.809304275,0.027571869,176
4905,2558,26-08-2015,FoodTalkIndia,Online Food Community Platform,Online Lending Platform,Gurgaon,"""undisclosed investor""",seed funding,500000,Medium,4.5485,Seed,267,0.846605197,267,0.846605197,0.090984986,45
4906,2559,27-08-2015,InstaSafe,Private Cloud Networks SAAS platform,Online Lending Platform,Bangalore,"""group of investors""",seed funding,1750000,Large,15.91975,Seed,434,0.675607712,434,0.675607712,0.008095784,481
4907,2560,27-08-2015,Eazy Coach,Education Marketplace,Online Lending Platform,Kolkata,"""ravi agarwal""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4908,2561,27-08-2015,Djubo.com,Cloud Based Hotel Sales Platform,Online Lending Platform,New Delhi,"""ibibo group""",private equity,1750000,Large,15.91975,Private Equity,495,0.431824532,495,0.431824532,0.004172892,648
4909,2562,28-08-2015,BetterButter.in,online recipe sharing platform,Online Lending Platform,New Delhi,"""growx ventures""",seed funding,1750000,Large,15.91975,Seed,325,0.785973736,325,0.785973736,0.027309683,181
4910,2562,28-08-2015,BetterButter.in,online recipe sharing platform,Online Lending Platform,New Delhi,"""  manish singhal""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4911,2563,28-08-2015,Vyomo,Beauty & Lifestyle Mobile Marketplace,Online Lending Platform,Bangalore,"""rocket internet""",private equity,2000000,Large,18.194,Private Equity,482,0.586197262,482,0.586197262,0.004239919,643
4912,2564,28-08-2015,RollMafia,QSR Restaurant Chain,Online Lending Platform,Pune,"""equentia natural resources""",seed funding,160000,Medium,1.45552,Seed,639,0.04708019,639,0.04708019,0.003746601,778
4913,2565,29-08-2015,iamwire,Digital Media publishing platform,Online Lending Platform,Gurgaon,"""li tao""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4914,2565,29-08-2015,iamwire,Digital Media publishing platform,Online Lending Platform,Gurgaon,"""  li jian""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4915,2565,29-08-2015,iamwire,Digital Media publishing platform,Online Lending Platform,Gurgaon,"""  draphant consultants""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4916,2565,29-08-2015,iamwire,Digital Media publishing platform,Online Lending Platform,Gurgaon,"""  nitin garg""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4917,2565,29-08-2015,iamwire,Digital Media publishing platform,Online Lending Platform,Gurgaon,"""  saurabh jain""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4918,2565,29-08-2015,iamwire,Digital Media publishing platform,Online Lending Platform,Gurgaon,"""  mohit agarwal""",seed funding,1750000,Large,15.91975,Seed,434,0.675607712,434,0.675607712,0.008095784,481
4919,2566,31-08-2015,DropKaffe,Online Coffee Delivery platform,Online Lending Platform,Bangalore,"""manish singhal""",seed funding,300000,Medium,2.7291,Seed,601,0.105895502,601,0.105895502,0.003784136,742
4920,2566,31-08-2015,DropKaffe,Online Coffee Delivery platform,Online Lending Platform,Bangalore,"""  p39 capital & others""",seed funding,300000,Medium,2.7291,Seed,601,0.105895502,601,0.105895502,0.003784136,742
4921,2567,31-08-2015,Reverie,Language Localization Cloud platform,Online Lending Platform,Bangalore,"""aspada investment advisors""",private equity,4000000,Large,36.388,Private Equity,408,0.715283599,408,0.715283599,0.008321965,468
4922,2567,31-08-2015,Reverie,Language Localization Cloud platform,Online Lending Platform,Bangalore,"""  qualcomm ventures""",private equity,4000000,Large,36.388,Private Equity,104,0.956132998,104,0.956132998,0.045858045,92
4923,2568,31-08-2015,Infinite Analytics,Big Data & predictive Analysis Platform,Online Lending Platform,Mumbai,"""ratan tata""",private equity,1750000,Large,15.91975,Private Equity,149,0.928751048,149,0.928751048,0.113855706,35
4924,2568,31-08-2015,Infinite Analytics,Big Data & predictive Analysis Platform,Online Lending Platform,Mumbai,"""  nikhil vora & others""",private equity,1750000,Large,15.91975,Private Equity,495,0.431824532,495,0.431824532,0.004172892,648
4925,2569,01-07-2015,Parcelled,Online Logistics Platform,Online Lending Platform,Bangalore,"""delhivery""",seed funding,1750000,Large,15.91975,Seed,289,0.828443699,289,0.828443699,0.013488067,325
4926,2569,01-07-2015,Parcelled,Online Logistics Platform,Online Lending Platform,Bangalore,"""  tracxn labs""",seed funding,1750000,Large,15.91975,Seed,271,0.845487566,271,0.845487566,0.039248686,116
4927,2570,01-07-2015,Retigence Technologies,Business IT Intelligence Services,Online Lending Platform,Mumbai,"""omnivore partners""",private equity,1750000,Large,15.91975,Private Equity,450,0.630064264,450,0.630064264,0.007942571,493
4928,2571,01-07-2015,Cloudcherry Analytics,CRM / Analytics platform,Online Lending Platform,Chennai,"""the chennai angels""",seed funding,1000000,Medium,9.097,Seed,341,0.779267952,341,0.779267952,0.038176211,121
4929,2571,01-07-2015,Cloudcherry Analytics,CRM / Analytics platform,Online Lending Platform,Chennai,"""  idg ventures india""",seed funding,1000000,Medium,9.097,Seed,136,0.940625873,136,0.940625873,0.037643658,123
4930,2573,01-07-2015,iDreamCareer,Ed-Tech Platform,Online Lending Platform,New Delhi,"""ah! ventures""",seed funding,1750000,Large,15.91975,Seed,304,0.813355686,304,0.813355686,0.042371943,104
4931,2573,01-07-2015,iDreamCareer,Ed-Tech Platform,Online Lending Platform,New Delhi,"""  vivek joshi""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4932,2573,01-07-2015,iDreamCareer,Ed-Tech Platform,Online Lending Platform,New Delhi,"""  mohit satyanand & others""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4933,2574,01-07-2015,Ola Cabs,Cab rental Mobile app,Online Lending Platform,Bangalore,"""ratan tata""",private equity,1750000,Large,15.91975,Private Equity,149,0.928751048,149,0.928751048,0.113855706,35
4934,2575,01-07-2015,NxtGen,IT infrastructure & Data Center services,Online Lending Platform,Bangalore,"""ifc""",private equity,13500000,Very Large,122.8095,Private Equity,291,0.826906957,291,0.826906957,0.007323157,560
4935,2575,01-07-2015,NxtGen,IT infrastructure & Data Center services,Online Lending Platform,Bangalore,"""  axon partners""",private equity,13500000,Very Large,122.8095,Private Equity,291,0.826906957,291,0.826906957,0.007323157,560
4936,2575,01-07-2015,NxtGen,IT infrastructure & Data Center services,Online Lending Platform,Bangalore,"""  intel capital""",private equity,13500000,Very Large,122.8095,Private Equity,291,0.826906957,291,0.826906957,0.007323157,560
4937,2576,02-07-2015,BankBazaar,Online Financial Services,Online Lending Platform,Chennai,"""amazon""",private equity,60000000,Very Large,545.82,Private Equity,84,0.966750489,84,0.966750489,0.033567212,144
4938,2576,02-07-2015,BankBazaar,Online Financial Services,Online Lending Platform,Chennai,"""  fidelity growth partners""",private equity,60000000,Very Large,545.82,Private Equity,122,0.946912545,122,0.946912545,0.020388226,221
4939,2576,02-07-2015,BankBazaar,Online Financial Services,Online Lending Platform,Chennai,"""  mousse partners""",private equity,60000000,Very Large,545.82,Private Equity,67,0.976669461,67,0.976669461,0.038876059,118
4940,2577,02-07-2015,Gozoomo,Used Car Marketplace,Online Lending Platform,Bangalore,"""saif partners""",private equity,5000000,Large,45.485,Private Equity,76,0.970382788,76,0.970382788,0.117198843,33
4941,2578,02-07-2015,Zenatix,Internet of Things platform,Online Lending Platform,Gurgaon,"""rajan anandan""",seed funding,161000,Medium,1.464617,Seed,268,0.846325789,268,0.846325789,0.050322667,83
4942,2578,02-07-2015,Zenatix,Internet of Things platform,Online Lending Platform,Gurgaon,"""  kunal bahl""",seed funding,161000,Medium,1.464617,Seed,274,0.844090528,274,0.844090528,0.035536413,130
4943,2578,02-07-2015,Zenatix,Internet of Things platform,Online Lending Platform,Gurgaon,"""  rohit bansal""",seed funding,161000,Medium,1.464617,Seed,222,0.875104778,222,0.875104778,0.047508356,87
4944,2578,02-07-2015,Zenatix,Internet of Things platform,Online Lending Platform,Gurgaon,"""  rahul khanna""",seed funding,161000,Medium,1.464617,Seed,563,0.149063984,563,0.149063984,0.007494143,549
4945,2579,03-07-2015,CultureAlley,Language Learning App,Online Lending Platform,Jaipur,"""tiger global""",private equity,6500000,Very Large,59.1305,Private Equity,27,0.99161777,27,0.99161777,0.133123779,27
4946,2580,03-07-2015,Goqii,Mobile Fitness Marketplace,Online Lending Platform,Mumbai,"""vijay shekhar sharma""",private equity,1750000,Large,15.91975,Private Equity,8,0.997485331,8,0.997485331,0.172771708,15
4947,2581,03-07-2015,Gingercrush,Custom Merchandize platform,Online Lending Platform,Ahmedabad,"""gokul jaykrishna""",seed funding,1000000,Medium,9.097,Seed,517,0.24015088,517,0.24015088,0.003971811,664
4948,2581,03-07-2015,Gingercrush,Custom Merchandize platform,Online Lending Platform,Ahmedabad,"""  brand capital""",seed funding,1000000,Medium,9.097,Seed,517,0.24015088,517,0.24015088,0.003971811,664
4949,2582,04-07-2015,Elanic,P2P Pre-owned goods marketplace,Online Lending Platform,Bangalore,"""rebright partners""",seed funding,1750000,Large,15.91975,Seed,394,0.734842135,394,0.734842135,0.019314547,236
4950,2582,04-07-2015,Elanic,P2P Pre-owned goods marketplace,Online Lending Platform,Bangalore,"""  tracxn labs""",seed funding,1750000,Large,15.91975,Seed,271,0.845487566,271,0.845487566,0.039248686,116
4951,2582,04-07-2015,Elanic,P2P Pre-owned goods marketplace,Online Lending Platform,Bangalore,"""  aneesh reddy""",seed funding,1750000,Large,15.91975,Seed,322,0.787650182,322,0.787650182,0.027381056,180
4952,2583,04-07-2015,Stitchwood,Custom Furniture Marketplace,Online Lending Platform,Mumbai,"""powai lake ventures""",seed funding,395000,Medium,3.593315,Seed,376,0.755238894,376,0.755238894,0.019463754,233
4953,2583,04-07-2015,Stitchwood,Custom Furniture Marketplace,Online Lending Platform,Mumbai,"""  ajeet khurana & others""",seed funding,395000,Medium,3.593315,Seed,571,0.135512713,571,0.135512713,0.003809606,714
4954,2584,05-07-2015,Urban Tailor,Online Tailoring Services,Online Lending Platform,Bangalore,"""group of angel investors""",seed funding,1750000,Large,15.91975,Seed,336,0.781503213,336,0.781503213,0.071533376,55
4955,2585,06-07-2015,ConfirmtTkt,Rail Ticket Confirmation predictor,Online Lending Platform,Bangalore,"""pravin agarwala & others""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4956,2586,06-07-2015,Paper Boat,Ethnic Beverages manufacturer,Online Lending Platform,Gurgaon,"""sofina""",private equity,30000000,Very Large,272.91,Private Equity,82,0.967728416,82,0.967728416,0.031008896,157
4957,2586,06-07-2015,Paper Boat,Ethnic Beverages manufacturer,Online Lending Platform,Gurgaon,"""  hillhouse capital""",private equity,30000000,Very Large,272.91,Private Equity,73,0.971500419,73,0.971500419,0.034942478,135
4958,2587,06-07-2015,getNow,Hyperlocal Goods marketplace,Online Lending Platform,Nagpur,"""atulya mittal""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4959,2588,07-07-2015,Wudstay,Budget Accommodation aggregator,Online Lending Platform,Gurgaon,"""mangroves capital partners""",private equity,3000000,Large,27.291,Private Equity,444,0.645850796,444,0.645850796,0.004508027,629
4960,2588,07-07-2015,Wudstay,Budget Accommodation aggregator,Online Lending Platform,Gurgaon,"""  vikas saxena""",private equity,3000000,Large,27.291,Private Equity,444,0.645850796,444,0.645850796,0.004508027,629
4961,2589,07-07-2015,Liases Foras,Real Estate Rating & Analysis,Online Lending Platform,New Delhi,"""dmg information asia pacific""",private equity,5000000,Large,45.485,Private Equity,397,0.727437832,397,0.727437832,0.005044242,606
4962,2590,07-07-2015,Eatlo,Food Delivery platform,Online Lending Platform,Bangalore,"""powai lake ventures""",seed funding,1750000,Large,15.91975,Seed,376,0.755238894,376,0.755238894,0.019463754,233
4963,2590,07-07-2015,Eatlo,Food Delivery platform,Online Lending Platform,Bangalore,"""  globeinvestor""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
4964,2590,07-07-2015,Eatlo,Food Delivery platform,Online Lending Platform,Bangalore,"""  abhishekh goyal""",seed funding,1750000,Large,15.91975,Seed,495,0.431824532,495,0.431824532,0.004172892,648
